title,artist,top genre,year,bpm,energy,danceability,live,valence,duration,acousticness,speechiness,popularity
Just the Way You Are,Bruno Mars,dance pop,2010,109,84,64,6,42,221,1,4,85
"Hey, Soul Sister",Train,dance pop,2010,97,89,67,8,80,217,19,4,85
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,52,64,263,24,23,84
TiK ToK,Kesha,dance pop,2010,120,84,76,29,71,200,10,14,84
Only Girl (In The World),Rihanna,barbadian pop,2010,126,71,79,6,64,235,11,4,83
Bad Romance,Lady Gaga,art pop,2010,119,92,70,8,71,295,0,4,82
DJ Got Us Fallin' In Love (feat. Pitbull),USHER,atl hip hop,2010,120,86,66,8,65,221,3,11,82
I Gotta Feeling,Black Eyed Peas,dance pop,2010,128,77,74,51,61,289,9,3,81
Empire State Of Mind,JAY-Z,east coast hip hop,2010,174,96,49,46,81,277,3,39,81
Baby,Justin Bieber,canadian pop,2010,65,86,73,11,54,214,4,14,81
You Belong With Me,Taylor Swift,pop,2010,130,75,69,11,44,232,18,4,81
Party In The U.S.A.,Miley Cyrus,pop,2010,96,70,65,9,47,202,0,4,80
Not Afraid,Eminem,detroit hip hop,2010,115,95,86,21,67,248,53,26,79
Replay,Iyaz,dance pop,2010,91,75,71,17,20,182,17,7,79
Club Can't Handle Me (feat. David Guetta) - From the Step Up 3D Soundtrack,Flo Rida,dance pop,2010,128,88,62,19,53,233,2,3,78
Eenie Meenie,Justin Bieber,canadian pop,2010,121,61,72,11,83,202,5,3,78
Use Somebody,Kings of Leon,modern rock,2010,137,74,27,12,16,232,1,5,78
Breakeven,The Script,celtic rock,2010,94,70,63,8,54,261,17,2,78
Sexy Bitch (feat. Akon),David Guetta,big room,2010,130,63,81,13,80,196,8,5,77
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,36,62,215,17,5,77
Fireflies,Owl City,indietronica,2010,180,66,51,12,47,228,3,4,77
Down,Jay Sean,dance pop,2010,132,68,73,8,73,213,1,3,76
Teenage Dream,Katy Perry,pop,2010,120,80,72,14,61,228,1,4,76
Rude Boy,Rihanna,barbadian pop,2010,174,75,56,8,81,223,11,13,76
Nothin' on You (feat. Bruno Mars),B.o.B,atl hip hop,2010,104,85,69,9,74,268,39,5,75
Paparazzi,Lady Gaga,art pop,2010,115,69,76,9,40,208,11,4,75
Meet Me Halfway,Black Eyed Peas,dance pop,2010,130,63,80,32,40,284,0,7,74
Telephone,Lady Gaga,art pop,2010,122,84,82,11,72,221,1,4,74
Secrets,OneRepublic,piano rock,2010,148,76,52,12,38,225,7,4,74
